awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
Sacred Writes	Public Scholarship Training Fellowship	Kecia Ali	2021	Ali, Kecia	Not Designated	4	2020s	Standard Award	True	American Academy of Religion | Regional Development Grant	Religion/Religious Studies	Sacred Writes | Public Scholarship Training Fellowship	1.0	0.125	5.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Anderson, Betty	2019	Anderson, Betty	Prestigious	6	2010s	Notable Award	True	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
National Endowment for the Humanities (NEH)	Summer Stipends Awards	Clifford Backman	1991	Backman, Clifford R	Not Designated	34	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Near and Middle Eastern Languages and Cultures	National Endowment for the Humanities (NEH) | Summer Stipends Awards	1.0	0.5	29.0
MacDowell Colony	MacDowell Fellowships	Martin Amlin	1980	Amlin, Martin D	Not Designated	45	1980s	Standard Award	False	Academy of American Poets | Academy Fellowship	Performing and Visual Arts, various	MacDowell Colony | MacDowell Fellowships	1.0	1.0	5.0
American Academy of Social Work and Social Welfare	Fellow	Maryann Amodeo	2015	Amodeo, Maryann	Not Designated	10	2010s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Institute for Electrical and Electronics Engineers (IEEE)	IEEE Fellow	John Baillieul	1993	Baillieul, John B	Not Designated	32	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Bioinformatics and Computational Biology	Institute for Electrical and Electronics Engineers (IEEE) | IEEE Fellow	1.0	0.3329999999999999	24.0
Society for Industrial and Applied Mathematics (SIAM)	SIAM Fellow	John Baillieul	2009	Baillieul, John B	Not Designated	16	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Applied Mathematics	Society for Industrial and Applied Mathematics (SIAM) | SIAM Fellow	3.0	0.6	38.0
IEEE Control Systems Society	IEEE CSS Distinguished Member Award	John Baillieul	1994	Baillieul, John B	Not Designated	31	1990s	Standard Award	False	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Computer Engineering	IEEE Control Systems Society | IEEE CSS Distinguished Member Award	1.0	0.0139999999999999	19.0
IEEE Control Systems Society	IEEE CSS Hendrik W. Bode Lecture Prize	John Baillieul	2011	Baillieul, John B	Not Designated	14	2010s	Standard Award	False	American Automatic Control Council | O. Hugo Schuck Best Paper Award	Aerospace Engineering	IEEE Control Systems Society | IEEE CSS Hendrik W. Bode Lecture Prize	1.0	0.5	23.0
International Federation of Automatic Control	IFAC Fellow	Baillieul, John	2011	Baillieul, John B	Not Designated	14	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Civil Engineering	International Federation of Automatic Control | IFAC Fellow	1.0	0.2	21.0
Institute of Mathematical Statistics	IMS Fellows	Aguemon Yves Atchade	2020	Atchade, Yves	Not Designated	5	2020s	Standard Award	True	Alexander Von Humboldt Foundation | Alexander von Humboldt Professorship	Bioinformatics and Computational Biology	Institute of Mathematical Statistics | IMS Fellows	1.0	0.5	17.0
Academy of Management	Gender and Diversity in Organizations Division/Parasuraman Award	Michel Anteby	2016	Anteby, Michel James	Not Designated	9	2010s	Standard Award	True	Academy of Management | Gender and Diversity in Organizations Division/Janet Chusmir Distinguished Service Award	Management	Academy of Management | Gender and Diversity in Organizations Division/Parasuraman Award	1.0	0.3329999999999999	8.0
Emerald Publishing	Outstanding Author Contributions	Michel Anteby	2015	Anteby, Michel James	Not Designated	10	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Management	Emerald Publishing | Outstanding Author Contributions	1.0	1.0	9.0
Cornell University	Johnson School of Management/ASQ Award for Scholarly Contribution	Michel Anteby	2023	Anteby, Michel James	Not Designated	2	2020s	Standard Award	True	Academy of Management | AOM Fellow	Business, various	Cornell University | Johnson School of Management/ASQ Award for Scholarly Contribution	1.0	0.091	18.0
American Academy of Arts and Sciences	American Academy of Arts and Sciences Member/Fellow	Bard, Kathryn	2010	Bard, Kathryn	Highly Prestigious	15	2010s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	1.0	0.5	23.0
Minerals, Metals and Materials Society, The	LMD/EPD Energy Best Paper Award - Professional	Soumendra Basu	2023	Basu, Soumendra N	Not Designated	2	2020s	Standard Award	True	American Society of Mechanical Engineers (ASME) | Fellow	Mechanical Engineering	Minerals, Metals and Materials Society, The | LMD/EPD Energy Best Paper Award - Professional	1.0	0.008	6.0
Office of Naval Research (ONR)	Young Investigator Program Award (YIP)	Enrico Bellotti	2003	Bellotti, Enrico	Prestigious	22	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Office of Naval Research (ONR) | Young Investigator Program Award (YIP)	1.0	0.091	6.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Enrico  Bellotti	2005	Bellotti, Enrico	Prestigious	20	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
IEEE Computer Society	Certificate of Appreciation	Calin Belta	2013	Belta, Calin A	Not Designated	12	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Biological Sciences, various	IEEE Computer Society | Certificate of Appreciation	1.0	1.0	22.0
Institute for Electrical and Electronics Engineers (IEEE)	IEEE Fellow	Calin Belta	2017	Belta, Calin A	Not Designated	8	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Bioinformatics and Computational Biology	Institute for Electrical and Electronics Engineers (IEEE) | IEEE Fellow	1.0	0.3329999999999999	24.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Calin A Belta	2005	Belta, Calin A	Prestigious	20	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
