awardgoverningsocietyname	awardname	awardreceivedname	awardreceivedawardyear	personname	prestige	award_age	award_decade	award_category	is_recent	stats_Focal Award	stats_Discipline	stats_Pathway Award	stats_# Awardees w/ This Award	stats_Percentage of Awardees with This Award	stats_Mean Academic Age at Time of Award
Air Force Office of Scientific Research (AFOSR)	Young Investigator Program (YIP)	Calin Belta	2008	Belta, Calin A	Not Designated	17	2000s	Standard Award	False	Acoustical Society of America | Fellow	Neurobiology/Neuroscience	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	1.0	0.3329999999999999	5.0
Asia-Pacific Artificial Intelligence Association	AAIA Fellow	Calin Belta	2022	Belta, Calin A	Not Designated	3	2020s	Standard Award	True	Adobe Systems | Data Science Research Awards	Computer Science	Asia-Pacific Artificial Intelligence Association | AAIA Fellow	1.0	0.111	27.0
IEEE Control Systems Society	IEEE Transactions on Control of Network Systems Best Paper Award	Calin A. Belta	2017	Belta, Calin A	Not Designated	8	2010s	Standard Award	True	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	Civil Engineering	IEEE Control Systems Society | IEEE Transactions on Control of Network Systems Best Paper Award	1.0	0.5	2.0
National Bureau of Economic Research(NBER)	NBER Affiliated Scholars	Marianne Baxter	1994	Baxter, Marianne	Not Designated	31	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Economics, General	National Bureau of Economic Research(NBER) | NBER Affiliated Scholars	2.0	1.0	13.5
American Physical Society	APS Fellow	Bansil, Rama	2001	Bansil, Rama	Not Designated	24	2000s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Physical Society | APS Fellow	1.0	0.5	21.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	Thomas J. Barfield	2006	Barfield, Thomas J	Highly Prestigious	19	2000s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Specialist	Barfield, Thomas	2002	Barfield, Thomas J	Not Designated	23	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Science	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Specialist	1.0	0.063	22.0
Association for Psychological Science	James McKeen Cattell Fellow Award	David H. Barlow	2012	Barlow, David H	Prestigious	13	2010s	Notable Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Human Development and Family Studies, General	Association for Psychological Science | James McKeen Cattell Fellow Award	1.0	0.143	26.0
American Psychological Association	Distinguished Scientific Award for the Applications of Psychology	David H. Barlow	2000	Barlow, David H	Prestigious	25	2000s	Notable Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Communication and Communication Studies - Articles-Focused	American Psychological Association | Distinguished Scientific Award for the Applications of Psychology	1.0	0.143	40.0
Academy of Medical Sciences	Academy of Medical Sciences Fellow	David Barlow	1998	Barlow, David H	Not Designated	27	1990s	Standard Award	False	Academy of Medical Sciences | Academy of Medical Sciences Fellow	Cancer Biology	National Institutes of Health (NIH) | NIH Outstanding Investigator Award (R35)	1.0	1.0	29.0
American Psychological Association	Division 12-Society for a Science of Clinical Psychology/SSCP Distinguished Scientist Awards	David Barlow	1989	Barlow, David H	Not Designated	36	1980s	Standard Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Psychology, General	American Psychological Association | Division 12-Society for a Science of Clinical Psychology/SSCP Distinguished Scientist Awards	1.0	0.033	32.0
American Psychological Association	APA Fellow	Barlow, David H	2000	Barlow, David H	Prestigious	25	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Management	American Psychological Association | APA Fellow	1.0	1.0	12.0
Association for Behavioral and Cognitive Therapies	Career/Lifetime Achievement	David Barlow	2008	Barlow, David H	Not Designated	17	2000s	Standard Award	False	American Psychological Association | Division 12-Society for a Science of Clinical Psychology/Toy Caldwell-Colbert Award for Distinguished Educator in Clinical Psychology	Psychology, General	Association for Behavioral and Cognitive Therapies | Career/Lifetime Achievement	1.0	0.1669999999999999	35.0
Association for Behavioral and Cognitive Therapies	Outstanding Researcher	David H. Barlow	2001	Barlow, David H	Not Designated	24	2000s	Standard Award	False	American Psychological Association | APA Fellow	Clinical Psychology	Association for Behavioral and Cognitive Therapies | Outstanding Researcher	1.0	0.032	33.0
American Psychological Association	Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology	David H. Barlow	2000	Barlow, David H	Not Designated	25	2000s	Standard Award	False	American Psychological Association | APA Fellow	Clinical Psychology	American Psychological Association | Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology	1.0	0.032	33.0
Eastern Psychological Association	EPA Fellow	Barlow, David	2011	Barlow, David H	Not Designated	14	2010s	Standard Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cognitive Science	Eastern Psychological Association | EPA Fellow	2.0	0.143	20.0
American Psychological Foundation	Gold Medal Awards for Life Achievement, Practice	David H. Barlow	2018	Barlow, David H	Highly Prestigious	7	2010s	Major Award	True	American Psychological Foundation | Gold Medal Awards for Life Achievement, Science	Psychology, General	National Academy of Education | NAEd Member	1.0	1.0	48.0
Stanford University	Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow	David H. Barlow	1997	Barlow, David H	Highly Prestigious	28	1990s	Major Award	False	Academia Europaea | Member of the Academia Europaea	Linguistics - Articles-Focused	Stanford University | Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow	1.0	0.5	15.0
American Psychological Association	APA Presidential Citation	David H. Barlow	2018	Barlow, David H	Not Designated	7	2010s	Standard Award	True	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Cognitive Science	American Psychological Association | APA Presidential Citation	1.0	0.059	45.0
American Psychological Association	APA Presidential Citation	David H. Barlow	2014	Barlow, David H	Not Designated	11	2010s	Standard Award	False	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Cognitive Science	American Psychological Association | APA Presidential Citation	1.0	0.059	45.0
United States Department of State, Bureau of Educational and Cultural Affairs	Fulbright Scholar	Gregory Frederick Barz	2002	Melchor-barz, Gregory F	Prestigious	23	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Chemistry	United States Department of State, Bureau of Educational and Cultural Affairs | Fulbright Scholar	1.0	0.3329999999999999	0.0
Faculty Fellowship Program in Israel	Faculty Fellowship Program in Israel Fellow	Gregory Barz	2017	Melchor-barz, Gregory F	Not Designated	8	2010s	Standard Award	True	Academy of Nutrition and Dietetics | Marianne Smith Edge Award	Business, various	Faculty Fellowship Program in Israel | Faculty Fellowship Program in Israel Fellow	1.0	1.0	23.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Betke, Margrit	2001	Betke, Margrit	Prestigious	24	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Association for Computing Machinery (ACM)	ACM Senior Member	Margrit Betke	2012	Betke, Margrit	Not Designated	13	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Association for Computing Machinery (ACM) | ACM Senior Member	1.0	0.091	7.0
Google	Google Faculty Research Award	Margrit Betke	2017	Betke, Margrit	Not Designated	8	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Computer and Information Sciences, various	Google | Google Faculty Research Award	1.0	0.3329999999999999	35.0
W. M. Keck Foundation	National Academies Keck Futures Initiative (NAKFI) Grant	THOMAS BIFANO	2011	Bifano, Thomas G	Not Designated	14	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Applied Mathematics	W. M. Keck Foundation | National Academies Keck Futures Initiative (NAKFI) Grant	1.0	0.2	17.0
W. M. Keck Foundation	National Academies Keck Futures Initiative (NAKFI) Grant	THOMAS BIFANO	2011	Bifano, Thomas G	Not Designated	14	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Applied Mathematics	W. M. Keck Foundation | National Academies Keck Futures Initiative (NAKFI) Grant	1.0	0.2	17.0
Association for Computing Machinery (ACM)	ACM Senior Member	Bestavros,?Azer	2007	Bestavros, Azer	Not Designated	18	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Association for Computing Machinery (ACM) | ACM Senior Member	1.0	0.091	7.0
American Mathematical Society	AMS Fellow	Blanchard, Paul	2013	Blanchard, Paul	Not Designated	12	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Mathematical Society | AMS Fellow	1.0	0.5	57.0
National Academy of Sciences	Kavli Frontiers of Science Fellows	Elizabeth Blanton	2013	Randall, Elizabeth	Not Designated	12	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Academy of Sciences | Kavli Frontiers of Science Fellows	2.0	0.25	12.5
American Astronomical Society	AAS Fellow	Elizabeth Blanton	2020	Randall, Elizabeth	Not Designated	5	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Astronomy and Astrophysics	American Astronomical Society | AAS Fellow	3.0	0.158	31.7
Society for French Historical Studies	Gilbert Chinard Prize	Brooke Blower	2012	Blower, Brooke L	Prestigious	13	2010s	Notable Award	False	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Comparative Literature	Society for French Historical Studies | Gilbert Chinard Prize	1.0	0.143	6.0
American Philosophical Society	Franklin Grants	Blower, Brooke L.	2012	Blower, Brooke L	Not Designated	13	2010s	Standard Award	False	African American Intellectual History Society (AAIHS) | C.L.R. James Research Fellowship	Business, various	American Philosophical Society | Franklin Grants	1.0	1.0	9.0
Stanford University	Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow	Brooke Blower	2016	Blower, Brooke L	Highly Prestigious	9	2010s	Major Award	True	Academia Europaea | Member of the Academia Europaea	Linguistics - Articles-Focused	Stanford University | Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow	1.0	0.5	15.0
American Council of Learned Societies (ACLS)	Frederick Burkhardt Residential Fellows	Brooke L. Blower	2015	Blower, Brooke L	Prestigious	10	2010s	Notable Award	True	African American Intellectual History Society (AAIHS) | Pauli Murray Book Prize	History	American Council of Learned Societies (ACLS) | Frederick Burkhardt Residential Fellows	1.0	0.25	11.0
Society for Historians of American Foreign Relations	Stuart L. Bernath Lecture Prize	Brooke Blower	2016	Blower, Brooke L	Not Designated	9	2010s	Standard Award	True	American Philosophical Society | Franklin Grants	History	Society for Historians of American Foreign Relations | Stuart L. Bernath Lecture Prize	1.0	0.023	7.0
Society for Historians of American Foreign Relations	Stuart L. Bernath Scholarly Article Prize	Brooke Blower	2015	Blower, Brooke L	Not Designated	10	2010s	Standard Award	True	American Historical Association | AHA Prize in American History	History	Society for Historians of American Foreign Relations | Stuart L. Bernath Scholarly Article Prize	1.0	0.3329999999999999	4.0
Andrew W. Mellon Foundation	Sawyer Seminar	Brooke L. Blower	2013	Blower, Brooke L	Not Designated	12	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	History	Andrew W. Mellon Foundation | Sawyer Seminar	1.0	0.5	35.0
Damon Runyon Cancer Research Foundation	Damon Runyon Fellowship	Michael D. Blower	2003	Blower, Michael Demian	Not Designated	22	2000s	Standard Award	False	Air Force Office of Scientific Research (AFOSR) | Young Investigator Program (YIP)	Bioinformatics and Computational Biology	Damon Runyon Cancer Research Foundation | Damon Runyon Fellowship	1.0	1.0	2.0
John Simon Guggenheim Memorial Foundation	Guggenheim Fellowship	Alicia Borinsky	2001	Borinsky, Alicia	Highly Prestigious	24	2000s	Major Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	John Simon Guggenheim Memorial Foundation | Guggenheim Fellowship	2.0	1.0	14.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Physics	Brower, Richard	1974	Brower, Richard C	Prestigious	51	1970s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Physics	1.0	0.5	2.0
National Endowment for the Humanities (NEH)	NEH Fellowships for University Teachers	Archie Burnett	2009	Burnett, Archibald	Highly Prestigious	16	2000s	Major Award	False	Academia Europaea | Member of the Academia Europaea	English Language and Literature	National Endowment for the Humanities (NEH) | NEH Fellowships for University Teachers	1.0	0.3329999999999999	9.0
Milton Society of America, The	John T. Shawcross Award	Archie Burnett	2009	Burnett, Archibald	Not Designated	16	2000s	Standard Award	False						
Association for Computing Machinery (ACM)	SIGCOMM/Test of Time Paper Award	John Byers	2009	Byers, John W	Not Designated	16	2000s	Standard Award	False	Amazon | Amazon Research Awards	Computer Science	Association for Computing Machinery (ACM) | SIGCOMM/Test of Time Paper Award	2.0	0.012	15.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	Byers, John	2001	Byers, John W	Prestigious	24	2000s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Google	Google Faculty Research Award	John Byers	2012	Byers, John W	Not Designated	13	2010s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer and Information Sciences, various	Google | Google Faculty Research Award	1.0	0.3329999999999999	35.0
IEEE Computer Society	Certificate of Appreciation	John Byers	2004	Byers, John W	Not Designated	21	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Biological Sciences, various	IEEE Computer Society | Certificate of Appreciation	1.0	1.0	22.0
Institute for Advanced Study	IAS School of Historical Studies/Members	Tian Yu Cao	2004	Cao, Tian Y	Prestigious	21	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Germanic Languages and Literatures	Institute for Advanced Study | IAS School of Historical Studies/Members	1.0	0.5	20.0
Institute for Advanced Study	IAS School of Natural Science/Member	Tian Yu Cao	2004	Cao, Tian Y	Not Designated	21	2000s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Institute for Advanced Study | IAS School of Natural Science/Member	2.0	0.25	28.5
Gerontological Society of America, The	Richard Kalish Innovative Publication Award	Deborah S. Carr	2020	Carr, Deborah	Prestigious	5	2020s	Notable Award	True	American Political Science Association | Health Politics and Policy Section/Award for Outstanding Public Engagement in Health Policy	Public Policy	Gerontological Society of America, The | Richard Kalish Innovative Publication Award	1.0	0.5	6.0
Borchard Foundation Center on Law & Aging	Borchard Foundation Grants	Deborah Carr	2021	Carr, Deborah	Not Designated	4	2020s	Standard Award	True	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Business Administration	Borchard Foundation Center on Law & Aging | Borchard Foundation Grants	1.0	0.25	23.0
American Sociological Association	Aging and the Life Course Section/Matilda White Riley Distinguished Scholar Award	Deborah Carr	2022	Carr, Deborah	Not Designated	3	2020s	Standard Award	True	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	Cell Biology	American Sociological Association | Aging and the Life Course Section/Matilda White Riley Distinguished Scholar Award	1.0	0.022	44.0
American Sociological Association	Aging and the Life Course Section/Outstanding Mentor Award	Deborah Carr	2023	Carr, Deborah	Not Designated	2	2020s	Standard Award	True	American Sociological Association | Aging and the Life Course Section/Outstanding Mentor Award	American Studies	Gerontological Society of America, The | Richard Kalish Innovative Publication Award	1.0	1.0	23.0
American Academy of Arts and Sciences	American Academy of Arts and Sciences Member/Fellow	Deborah Carr	2024	Carr, Deborah	Highly Prestigious	1	2020s	Major Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Academy of Arts and Sciences | American Academy of Arts and Sciences Member/Fellow	1.0	0.5	23.0
Econometric Society, The	Econometric Society Fellow	CHRISTOPHER CHAMLEY	1993	Chamley, Christophe	Not Designated	32	1990s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Economics, General	Econometric Society, The | Econometric Society Fellow	1.0	0.5	14.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	CARRUTHERS, JEFFREY	1999	Carruthers, Jeffrey B	Prestigious	26	1990s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
Institute for Electrical and Electronics Engineers (IEEE)	IEEE Fellow	David Casta??n	2019	Castanon, David A	Not Designated	6	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Bioinformatics and Computational Biology	Institute for Electrical and Electronics Engineers (IEEE) | IEEE Fellow	1.0	0.3329999999999999	24.0
IEEE Control Systems Society	IEEE CSS Distinguished Member Award	David Castanon	2006	Castanon, David A	Not Designated	19	2000s	Standard Award	False	American Association for the Advancement of Science, The (AAAS) | AAAS Fellow	Computer Engineering	IEEE Control Systems Society | IEEE CSS Distinguished Member Award	1.0	0.0139999999999999	19.0
American Physical Society	APS Fellow	Chamon, Claudio	2008	Chamon, Claudio C	Not Designated	17	2000s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	American Physical Society | APS Fellow	1.0	0.5	21.0
Alfred P. Sloan Foundation	Sloan Research Fellowship-Physics	Claudio Chamon	1999	Chamon, Claudio C	Prestigious	26	1990s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Astronomy and Astrophysics	Alfred P. Sloan Foundation | Sloan Research Fellowship-Physics	1.0	0.5	2.0
Institute for Advanced Study	IAS School of Natural Science/Member	Claudio Chamon	1999	Chamon, Claudio C	Not Designated	26	1990s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Institute for Advanced Study | IAS School of Natural Science/Member	2.0	0.25	28.5
Simons Foundation	Simons Fellows in Theoretical Physics	Claudio Chamon	2017	Chamon, Claudio C	Not Designated	8	2010s	Standard Award	True	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	Simons Foundation | Simons Fellows in Theoretical Physics	1.0	0.125	35.0
National Science Foundation (NSF)	Faculty Early Career Development (CAREER) Program	CHAMON, CLAUDIO	1999	Chamon, Claudio C	Prestigious	26	1990s	Notable Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Science Foundation (NSF) | Faculty Early Career Development (CAREER) Program	1.0	0.125	6.0
National Academy of Sciences	Kavli Frontiers of Science Fellows	Claudio Chamon	1999	Chamon, Claudio C	Not Designated	26	1990s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	National Academy of Sciences | Kavli Frontiers of Science Fellows	2.0	0.25	12.5
President of the United States of America	Presidential Early Career Awards for Scientists and Engineers (PECASE)	Christopher S. Chen	2000	Chen, Christopher	Prestigious	25	2000s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Applied Mathematics	President of the United States of America | Presidential Early Career Awards for Scientists and Engineers (PECASE)	1.0	0.2	5.0
American Institute for Medical and Biological Engineering	Fellow	Christopher Chen	2011	Chen, Christopher	Not Designated	14	2010s	Standard Award	False	Abdus Salam International Centre for Theoretical Physics | Dirac Medal	Physics, General	International Society on General Relativity and Gravitation | Fellow	2.0	0.25	11.0
Office of Naval Research (ONR)	Young Investigator Program Award (YIP)	Christopher Chen	1999	Chen, Christopher	Prestigious	26	1990s	Notable Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	Office of Naval Research (ONR) | Young Investigator Program Award (YIP)	1.0	0.091	6.0
Biomedical Engineering Society	BMES Fellow	Christopher S. Chen	2018	Chen, Christopher	Not Designated	7	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	Biomedical Engineering Society | BMES Fellow	1.0	0.5	21.0
Biomedical Engineering Society	Pritzker Distinguished Lecture Award	Christopher Chen	2019	Chen, Christopher	Not Designated	6	2010s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	Biomedical Engineering Society | Pritzker Distinguished Lecture Award	1.0	0.5	19.0
National Academy of Engineering	US Frontiers of Engineering Participant	Christopher S. Chen	2002	Chen, Christopher	Not Designated	23	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	National Academy of Engineering | US Frontiers of Engineering Participant	1.0	0.091	7.0
National Academy of Engineering	US Frontiers of Engineering Participant	Christopher S. Chen	2001	Chen, Christopher	Not Designated	24	2000s	Standard Award	False	Academia Europaea | Member of the Academia Europaea	Computer Engineering	National Academy of Engineering | US Frontiers of Engineering Participant	1.0	0.091	7.0
International Academy of Medical and Biological Engineering	IAMBE Fellow	?Christopher S. Chen	2021	Chen, Christopher	Not Designated	4	2020s	Standard Award	True	Academia Europaea | Member of the Academia Europaea	Agricultural/Biological Engineering and Bioengineering	International Academy of Medical and Biological Engineering | IAMBE Fellow	1.0	0.5	29.0
Allen Institute	Allen Distinguished Investigator	Christopher S. Chen	2021	Chen, Christopher	Not Designated	4	2020s	Standard Award	True	Alfred P. Sloan Foundation | Sloan Research Fellowship-Chemistry	Biochemistry	Allen Institute | Allen Distinguished Investigator	1.0	0.048	11.0
