awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
"Minerals, Metals and Materials Society, The",EPD Technology Award,Uday Pal,2000,"PAL, UDAY",Boston University,Not Designated,2024-12-06
"Minerals, Metals and Materials Society, The",EPD Distinguished Lecturer Award,Uday Pal,2015,"PAL, UDAY",Boston University,Not Designated,2024-12-06
"Minerals, Metals and Materials Society, The",LMD/EPD Energy Best Paper Award - Professional,Uday Pal,2023,"PAL, UDAY",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),Merry I. White,1990,"WHITE, MERRY",Boston University,Highly Prestigious,2024-12-06
Association for Asian Studies,AAS NEAC Japan Studies Grants,Merry I. White,2015,"WHITE, MERRY",Boston University,Prestigious,2024-12-06
The Japan Foundation,Japanese Studies Fellowships,"WHITE, Merry Isaacs",2007,"WHITE, MERRY",Boston University,Not Designated,2024-12-06
Association for Asian Studies,AAS NEAC Japan Studies Grants,Merry White,2021,"WHITE, MERRY",Boston University,Prestigious,2024-12-06
Association for the Study of Food and Society,ASFS Book Award,Merry White,2013,"WHITE, MERRY",Boston University,Not Designated,2024-12-06
Society for Social Work and Research,SSWR Fellow,Ruth Paris,2014,"PARIS, RUTH",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Paris, Ruth",2015,"PARIS, RUTH",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Specialist,"Paris, Ruth",2016,"PARIS, RUTH",Boston University,Not Designated,2024-12-06
Social Science Research Council,Berlin Program for Advanced German and European Study,Gregory Williams,2003,"WILLIAMS, GREGORY H",Boston University,Prestigious,2024-12-06
"Getty Foundation, The",Getty Foundation Postdoctoral Fellowships,Gregory Williams,2008,"WILLIAMS, GREGORY H",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,"Williams, Gregory Hamilton",2020,"WILLIAMS, GREGORY H",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Joyce Wong,2009,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"WONG, JOYCE",2000,"WONG, JOYCE Y",Boston University,Prestigious,2024-12-06
Biomedical Engineering Society,BMES Fellow,Joyce Wong,2013,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Joyce Y. Wong,2017,"WONG, JOYCE Y",Boston University,Prestigious,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Joyce Y. Wong,2002,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,US Frontiers of Engineering Participant,Joyce Y. Wong,2001,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
Society for Biomaterials,Clemson Award for Basic Research,Joyce Y. Wong,2020,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Inventors,NAI Fellow,Joyce Wong,2020,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
Hartwell Foundation,Individual Biomedical Research Awards,Joyce Y. Wong,2008,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,German-American Frontiers of Engineering Symposium Participant,Joyce Y. Wong,2004,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,German-American Frontiers of Engineering Symposium Participant,Joyce Y.  Wong,2013,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,German-American Frontiers of Engineering Symposium Participant,Joyce Y.  Wong,2012,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,German-American Frontiers of Engineering Symposium Participant,Joyce Y. Wong,2001,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,German-American Frontiers of Engineering Symposium Participant,Joyce Y. Wong,2002,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,Japan-America Frontiers of Engineering Symposium Participant,Joyce Y. Wong,2013,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Academy of Engineering,Japan-America Frontiers of Engineering Symposium Participant,Joyce Y. Wong,2012,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
International Academy of Medical and Biological Engineering,IAMBE Fellow,?Joyce Y. Wong,2021,"WONG, JOYCE Y",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"XI, HONGWEI",2001,"XI, HONGWEI",Boston University,Prestigious,2024-12-06
American Society for Theatre Research,ASTR/IFTR Fellowship/Thomas F Marshall Travel Fellowship,Harvey Young Jr.,1999,"YOUNG, HARVEY",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,Harvey Young,2005,"YOUNG, HARVEY",Boston University,Not Designated,2024-12-06
National Communication Association,Lilla A Heston Award for Outstanding Scholarship in Interpretation and Performance Studies,Harvey Young,2011,"YOUNG, HARVEY",Boston University,Prestigious,2024-12-06
American Society for Theatre Research,Errol Hill Award,Harvey Young,2011,"YOUNG, HARVEY",Boston University,Prestigious,2024-12-06
Association for Theatre in Higher Education,Excellence in Editing,Harvey Young,2014,"YOUNG, HARVEY",Boston University,Not Designated,2024-12-06
American Society for Theatre Research,Helen Krich Chinoy Dissertation Research Fellowship,Harvey Young,2001,"YOUNG, HARVEY",Boston University,Not Designated,2024-12-06
American Society for Theatre Research,ASTR Honorees/Distinguished Scholar,Harvey Young,2021,"YOUNG, HARVEY",Boston University,Highly Prestigious,2024-12-06
Harvard University,Charles Warren Center for Studies in American History/Fellows,Harvey Young?,2012,"YOUNG, HARVEY",Boston University,Not Designated,2024-12-06
College of Fellows of the American Theatre,Member,Harvey Young,1900,"YOUNG, HARVEY",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,Robert Pinsky,1993,"PINSKY, ROBERT",Boston University,Highly Prestigious,2024-12-06
Academy of American Poets,Harold Morton Landon Translation Award,Robert Pinsky,1995,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
Academy of American Poets,Lenore Marshall Poetry Prize,Robert Pinsky,1997,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
Phi Beta Kappa Society,Award for Distinguished Service to the Humanities,Robert Pinsky,2003,"PINSKY, ROBERT",Boston University,Highly Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Robert Pinsky,1980,"PINSKY, ROBERT",Boston University,Highly Prestigious,2024-12-06
American Academy of Arts and Letters,Arts and Letters Awards,Robert Pinsky,1980,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
PEN America,PEN/Voelcker Award for Poetry,Robert Pinsky,2004,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
Saginaw Valley State University,Theodore Roethke Memorial Poetry Prize,Robert Pinsky,2008,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
Pushcart Press,Pushcart Prize,Robert Pinsky,2021,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
Stanford University,Wallace Stegner Fellowships,Robert Neal Pinsky,1964,"PINSKY, ROBERT",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"PORCO, JOHN A",2016,"PORCO, JOHN A",Boston University,Not Designated,2024-12-06
Acoustical Society of America,R. Bruce Lindsay Award,Tyrone M. Porter?,2008,"PORTER, TYRONE",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Fellow,Tyrone M. Porter,2016,"PORTER, TYRONE",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Tyrone Porter,2021,"PORTER, TYRONE",Boston University,Not Designated,2024-12-06
American Federation for Aging Research,U.S. National Academy Medicine Catalyst Award Competition,Tyrone Porter,2021,"PORTER, TYRONE",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Frederick V. Hunt Postdoctoral Research Fellowship in Acoustics,Tyrone M. Porter,2003,"PORTER, TYRONE",Boston University,Not Designated,2024-12-06
Dance Studies Association,The de la Torre Bueno Prize,Carrie J. Preston,2011,"PRESTON, CARRIE J",Boston University,Not Designated,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Carrie Preston,2022,"PRESTON, CARRIE J",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Redner, Sidney",1999,"REDNER, SIDNEY",Boston University,Not Designated,2024-12-06
American Physical Society,Outstanding Referee,Sidney Redner,2008,"REDNER, SIDNEY",Boston University,Not Designated,2024-12-06
American Physical Society,Leo P. Kadanoff Prize,Sidney Redner,2021,"REDNER, SIDNEY",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Leonid  Reyzin,2006,"REYZIN, LEONID",Boston University,Prestigious,2024-12-06
American Geophysical Union,Union Fellow,Guido Salvucci,2003,"SALVUCCI, GUIDO D",Boston University,Not Designated,2024-12-06
American Meteorological Society,The Editor's Award,GUIDO SALVUCCI,2005,"SALVUCCI, GUIDO D",Boston University,Not Designated,2024-12-06
American Geophysical Union,James B Macelwane Medalists,Guido Salvucci,2003,"SALVUCCI, GUIDO D",Boston University,Prestigious,2024-12-06
Office of Naval Research (ONR),Young Investigator Program Award (YIP),Stan Sclaroff,1996,"SCLAROFF, STANLEY E",Boston University,Prestigious,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Stanley Sclaroff,2017,"SCLAROFF, STANLEY E",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Stan Sclaroff,2010,"SCLAROFF, STANLEY E",Boston University,Not Designated,2024-12-06
International Association for Pattern Recognition,IAPR FELLOW,Stan Sclaroff,2016,"SCLAROFF, STANLEY E",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Joshua  Semeter,2006,"SEMETER, JOSHUA L",Boston University,Prestigious,2024-12-06
IEEE Electron Devices Society,Paul Rappaport Award,William J. Skocpol,1985,"SKOCPOL, WILLIAM",Boston University,Not Designated,2024-12-06
American Physical Society,Outstanding Referee,W. J. Skocpol,2009,"SKOCPOL, WILLIAM",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Skocpol, William John",1987,"SKOCPOL, WILLIAM",Boston University,Not Designated,2024-12-06
Council for Advancement and Support of Education,Carnegie Professor of the Year State Winners,Kevin Smith,2001,"SMITH, KEVIN E",Boston University,Not Designated,2024-12-06
American Vacuum Society(AVS),Fellow of the Society,Kevin E. Smith,2007,"SMITH, KEVIN E",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Smith, Kevin E.",2009,"SMITH, KEVIN E",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,C Allen Speight,2011,"SPEIGHT, C ALLEN",Boston University,Prestigious,2024-12-06
American Academy in Berlin,Berlin Prize Fellow,Allen Speight,2003,"SPEIGHT, C ALLEN",Boston University,Not Designated,2024-12-06
William T. Grant Foundation,William T. Grant Scholar,Renee Spencer,2010,"SPENCER, RENEE",Boston University,Not Designated,2024-12-06
Society for Social Work and Research,SSWR Fellow,Renee Spencer,2020,"SPENCER, RENEE",Boston University,Not Designated,2024-12-06
American Academy of Social Work and Social Welfare,Fellow,Renee Spencer,2022,"SPENCER, RENEE",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Renee Spencer,2022,"SPENCER, RENEE",Boston University,Not Designated,2024-12-06
Memory Disorders Research Society,Member,Chantal Stern,1900,"STERN, CHANTAL E",Boston University,Not Designated,2024-12-06
American Mathematical Society,AMS Fellow,Glenn H. Stevens,2016,"STEVENS, GLENN HOWARD",Boston University,Not Designated,2024-12-06
"National Academies, The",Jefferson Science Fellows at the US Dept of State,James Stone,2009,"STONE, JAMES",Boston University,Not Designated,2024-12-06
American Astronomical Society,Bruno Rossi Prize,James L. Stone,1989,"STONE, JAMES",Boston University,Not Designated,2024-12-06
National Aeronautics and Space Administration (NASA),Exceptional Achievement Medal,"STONE, JAMES A.",2003,"STONE, JAMES",Boston University,Not Designated,2024-12-06
Breakthrough Prizes,Breakthrough Prize in Fundamental Physics,James L. Stone,2016,"STONE, JAMES",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Chemistry,John E. Straub,1995,"STRAUB, JOHN E",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Bela Suki,2007,"SUKI, BELA",Boston University,Not Designated,2024-12-06
Biomedical Engineering Society,BMES Fellow,"Suki, Bela",2016,"SUKI, BELA",Boston University,Not Designated,2024-12-06
Simons Foundation,Collaboration Grants for Mathematicians,Matthew Szczesny,2015,"SZCZESNY, MACIEJ M",Boston University,Not Designated,2024-12-06
Simons Foundation,Travel Support for Mathematicians Award,Maciej Szczesny,2022,"SZCZESNY, MACIEJ M",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Murad S. Taqqu,1987,"TAQQU, MURAD",Boston University,Highly Prestigious,2024-12-06
Institute of Mathematical Statistics,IMS Fellows,"Taqqu, Murad S.",1900,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
International Statistical Institute (ISI),Elected Member,"Taqqu, Murad S.",1900,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
American Mathematical Society,AMS Fellow,Murad S. Taqqu,2019,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
Simons Foundation,Collaboration Grants for Mathematicians,Murad Taqqu,2018,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
IEEE Communications Society,William R. Bennett Prize,Murad S. Taqqu,1995,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
European Association for Signal Processing (EURASIP),Signal Processing Best Paper Award,M. S. Taqqu,2000,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
Simons Foundation,Travel Support for Mathematicians Award,Murad Taqqu,2018,"TAQQU, MURAD",Boston University,Not Designated,2024-12-06
Ecological Society of America,ESA Fellow,Pamela Templer,2019,"TEMPLER, PAMELA H",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Pamela H Templer,2012,"TEMPLER, PAMELA H",Boston University,Prestigious,2024-12-06
African Studies Association,ASA Best Book Prize,John K. Thornton,2008,"THORNTON, JOHN",Boston University,Highly Prestigious,2024-12-06
National Endowment for the Humanities (NEH),Summer Stipends Awards,John K. Thornton,1988,"THORNTON, JOHN",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,John K. Thornton,2020,"THORNTON, JOHN",Boston University,Highly Prestigious,2024-12-06
University of Virginia,Carter G. Woodson Institute/Residential Fellowship,John Thornton,1984,"THORNTON, JOHN",Boston University,Not Designated,2024-12-06
IEEE Computer Society,Certificate of Appreciation,Richard West,2014,"WEST, RICHARD",Boston University,Not Designated,2024-12-06
International Society for Science and Religion,ISSR Fellow,Wesley Wildman,1900,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Wesley Wildman,2013,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Wesley Wildman,2019,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Wesley Wildman,2018,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Wesley Wildman,2017,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Wesley Wildman,2015,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
John Templeton Foundation,Templeton Grants,Wesley Wildman,2020,"WILDMAN, WESLEY J",Boston University,Not Designated,2024-12-06
American Council of Learned Societies (ACLS),ACLS Fellows (ACLS/SSRC/NEH International and Area Studies Fellowships and ACLS/New York Public Library Fellowships),"Winn, James",2007,"WINN, JAMES A",Boston University,Highly Prestigious,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,James A. Winn,2012,"WINN, JAMES A",Boston University,Highly Prestigious,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,James A. Winn,2012,"WINN, JAMES A",Boston University,Highly Prestigious,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Chen Yang,2009,"YANG, CHEN",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Chen Yang,2023,"YANG, CHEN",Boston University,Not Designated,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Michael H. Zell,2003,"ZELL, MICHAEL",Boston University,Highly Prestigious,2024-12-06
American Society of Mechanical Engineers (ASME),Fellow,Yanhang Zhang,2018,"ZHANG, YANHANG",Boston University,Not Designated,2024-12-06
Department of Defense (DOD),Defense Advanced Research Projects Agency (DARPA) Young Faculty Award (YFA),Katherine Zhang,2006,"ZHANG, YANHANG",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Katherine Y. Zhang,2010,"ZHANG, YANHANG",Boston University,Prestigious,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Katherine Y. Zhang,2021,"ZHANG, YANHANG",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Sean B Andersson,2009,"ANDERSSON, SEAN B",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,Paul E. Barbone,2000,"BARBONE, PAUL E",Boston University,Prestigious,2024-12-06
Office of Naval Research (ONR),Young Investigator Program Award (YIP),Paul Barbone,1995,"BARBONE, PAUL E",Boston University,Prestigious,2024-12-06
Acoustical Society of America,R. Bruce Lindsay Award,Paul E. Barbone?,1999,"BARBONE, PAUL E",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Fellow,Paul E. Barbone,2006,"BARBONE, PAUL E",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Paul E. Barbone,2018,"BARBONE, PAUL E",Boston University,Not Designated,2024-12-06
Harvard Radcliffe Institute for Advanced Study,Radcliffe Institute Fellowship,Cynthia Becker,2009,"BECKER, CYNTHIA J",Boston University,Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright U.S. Student Program,"Becker, Cynthia J.",1996,"BECKER, CYNTHIA J",Boston University,Not Designated,2024-12-06
American Statistical Association,ASA Fellow,Scarlett L. Bellamy,2016,"BELLAMY, SCARLETT L",Boston University,Not Designated,2024-12-06
Drexel University,Institute for Women's Health and Leadership/ELAM Fellow,Scarlett Bellamy,2021,"BELLAMY, SCARLETT L",Boston University,Not Designated,2024-12-06
"Network of Minorities in Mathematical Sciences, The",Black Mathematician Honoree,Scarlett Bellamy,2024,"BELLAMY, SCARLETT L",Boston University,Not Designated,2024-12-06
Harvard Radcliffe Institute for Advanced Study,Radcliffe Institute Fellowship,Alisa Bokulich,2021,"BOKULICH, ALISA",Boston University,Prestigious,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Tereasa Brainerd,1999,"BRAINERD, TEREASA G",Boston University,Not Designated,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Tereasa Brainerd,1998,"BRAINERD, TEREASA G",Boston University,Not Designated,2024-12-06
American Astronomical Society,AAS Fellow,Tereasa G. Brainerd,2023,"BRAINERD, TEREASA G",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Fellow,"Brown, Timothy A",2017,"BROWN, TIMOTHY A",Boston University,Prestigious,2024-12-06
Association for Behavioral and Cognitive Therapies,Outstanding Researcher,Timothy A. Brown,2021,"BROWN, TIMOTHY A",Boston University,Not Designated,2024-12-06
Institute for Electrical and Electronics Engineers (IEEE),IEEE Fellow,Christos G Cassandras,1996,"CASSANDRAS, CHRISTOS G",Boston University,Not Designated,2024-12-06
IEEE Control Systems Society,IEEE CSS Distinguished Member Award,Christos Cassandras,2006,"CASSANDRAS, CHRISTOS G",Boston University,Not Designated,2024-12-06
International Federation of Automatic Control,IFAC Fellow,"Cassandras, Christos",2008,"CASSANDRAS, CHRISTOS G",Boston University,Not Designated,2024-12-06
International Engineering and Technology Institute,Fellow/Distinguished Fellow,Christos G. Cassandras,2018,"CASSANDRAS, CHRISTOS G",Boston University,Not Designated,2024-12-06
IEEE Control Systems Society,IEEE Control Systems Technology Award,Christos G. Cassandras,2011,"CASSANDRAS, CHRISTOS G",Boston University,Not Designated,2024-12-06
American Institute for Medical and Biological Engineering,Fellow,Ji-Xin Cheng,2014,"CHENG, JI-XIN",Boston University,Not Designated,2024-12-06
W. M. Keck Foundation,Keck Science and Engineering Grant,Ji-Xin Cheng,2014,"CHENG, JI-XIN",Boston University,Not Designated,2024-12-06
"Optical Society of America, The (OSA)",OSA Fellow,Ji-Xin Cheng,2019,"CHENG, JI-XIN",Boston University,Prestigious,2024-12-06
"Optical Society of America, The (OSA)",Ellis R Lippincott Award,Ji-Xin Cheng,2019,"CHENG, JI-XIN",Boston University,Prestigious,2024-12-06
American Heart Association (AHA),Innovative Project Award,"CHENG, JI-XIN",2014,"CHENG, JI-XIN",Boston University,Not Designated,2024-12-06
"Coblentz Society, The",Craver Award,Ji-Xin Cheng,2015,"CHENG, JI-XIN",Boston University,Not Designated,2024-12-06
National Institutes of Health (NIH),NIH Outstanding Investigator Award (R35),"CHENG, JI-XIN ",2020,"CHENG, JI-XIN",Boston University,Not Designated,2024-12-06
International Society for Optics and Photonics (SPIE),Biophotonics Technology Innovator Award,Ji-Xin Cheng,2024,"CHENG, JI-XIN",Boston University,Not Designated,2024-12-06
American Philosophical Society,Franklin Grants,ARIANNE J. CHERNOCK,2010,"CHERNOCK, ARIANNE J",Boston University,Not Designated,2024-12-06
North American Conference on British Studies,John Ben Snow Prize,Arianne Chernock,2011,"CHERNOCK, ARIANNE J",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,"Chernock, Arianne",2014,"CHERNOCK, ARIANNE J",Boston University,Prestigious,2024-12-06
Harvard Society of Fellows,Harvard Society Junior Fellows,Andrew Cohen,1987,"COHEN, ANDREW",Boston University,Highly Prestigious,2024-12-06
American Physical Society,APS Fellow,"Cohen, Andrew G",2003,"COHEN, ANDREW",Boston University,Not Designated,2024-12-06
Department of Energy,Outstanding Junior Investigator,Andrew G. Cohen,1991,"COHEN, ANDREW",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 20-Adult Development and Aging-Mentorship Awards in Aging,Alice Cronin-Golomb,2016,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
"Gerontological Society of America, The",Fellow,"Cronin-Golomb, Alice",1900,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Fellow,"Cronin-Golomb, Alice M",2000,"CRONIN-GOLOMB, ALICE",Boston University,Prestigious,2024-12-06
Eastern Psychological Association,EPA Fellow,"Cronin-Golomb, Alice??????????",2008,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
Psychonomic Society,Fellow,Alice Cronin-Golomb,2016,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
Association for Psychological Science,Fellow,"Cronin-Golomb, Alice",1900,"CRONIN-GOLOMB, ALICE",Boston University,Prestigious,2024-12-06
American Parkinson Disease Association,APDA Research Grants,Alice Cronin-Golomb,2015,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
American Parkinson Disease Association,APDA Research Grants,Alice Cronin-Golomb,2017,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
Society for Neuroscience,Bernice Grafstein Award for Outstanding Accomplishments in Mentoring,Alice Cronin-Golomb,2022,"CRONIN-GOLOMB, ALICE",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Kamil Ekinci,2007,"EKINCI, KAMIL",Boston University,Prestigious,2024-12-06
"National Academies, The",Jefferson Science Fellows at the US Dept of State,Michael El-Batanouny,2008,"EL-BATANOUNY, MAGED",Boston University,Not Designated,2024-12-06
International Association for Applied Economectrics,IAAE Fellow,Ivan Fernandez-Val,2022,"FERNANDEZ-VAL, IVAN",Boston University,Not Designated,2024-12-06
Woodrow Wilson Center for Scholars,Fellow,Joseph Fewsmith,2006,"FEWSMITH, JOSEPH",Boston University,Highly Prestigious,2024-12-06
Woodrow Wilson Center for Scholars,Wilson Center Experts,Joseph Fewsmith,2006,"FEWSMITH, JOSEPH",Boston University,Prestigious,2024-12-06
Smith Richardson Foundation,International Security and Foreign Policy Program,Joseph Fewsmith,2019,"FEWSMITH, JOSEPH",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Goldberg, Bennett",2008,"GOLDBERG, BENNETT",Boston University,Not Designated,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,Bennett B. Goldberg,1991,"GOLDBERG, BENNETT",Boston University,Prestigious,2024-12-06
"Gerontological Society of America, The",Fellow,"Gonyea, Judith",1900,"GONYEA, JUDITH G",Boston University,Not Designated,2024-12-06
American Academy of Social Work and Social Welfare,Fellow,Judith G. Gonyea,2020,"GONYEA, JUDITH G",Boston University,Not Designated,2024-12-06
African Studies Association,ASA Best Book Prize,Linda M. Heywood,2008,"HEYWOOD, LINDA M",Boston University,Highly Prestigious,2024-12-06
Whiting Foundation,Dissertation Fellowship,Linda M. Heywood,1977,"HEYWOOD, LINDA M",Boston University,Not Designated,2024-12-06
American Academy of Arts and Sciences,American Academy of Arts and Sciences Member/Fellow,Linda M. Heywood,2020,"HEYWOOD, LINDA M",Boston University,Highly Prestigious,2024-12-06
Harvard University,Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows,Linda Heywood,2007,"HEYWOOD, LINDA M",Boston University,Not Designated,2024-12-06
Harvard University,Hutchins Center for African & African American Research/W. E. B. Du Bois Research Institute Fellows,Linda Heywood,2015,"HEYWOOD, LINDA M",Boston University,Not Designated,2024-12-06
Acoustical Society of America,Fellow,R. Glynn Holt,2007,"HOLT, R GLYNN",Boston University,Not Designated,2024-12-06
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,Lloyd Ferguson Young Scientist Award,Malika Jeffries-El,2010,"JEFFRIES-EL, MALIKA",Boston University,Prestigious,2024-12-06
American Chemical Society,ACS Fellow,"Jeffries-El, Malika?",2018,"JEFFRIES-EL, MALIKA",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,Malika Jeffries-EL,2009,"JEFFRIES-EL, MALIKA",Boston University,Prestigious,2024-12-06
African Scientific Institute,ASI FELLOW,Malika Jeffries-EL,1900,"JEFFRIES-EL, MALIKA",Boston University,Not Designated,2024-12-06
"University of California, Santa Barbara",Graduate Students for Diversity in Science (GSDS)/Dow Foundation Distinguished Lecturer,?Malika Jeffries-EL,2017,"JEFFRIES-EL, MALIKA",Boston University,Not Designated,2024-12-06
National Organization for the Professional Advancement of Black Chemists and Chemical Engineers,Percy L Julian Award,Malika Jeffries-El,2021,"JEFFRIES-EL, MALIKA",Boston University,Prestigious,2024-12-06
"American Association for the Advancement of Science, The (AAAS)",AAAS Fellow,Malika Jeffries-EL,2022,"JEFFRIES-EL, MALIKA",Boston University,Prestigious,2024-12-06
IOTA SIGMA PI,Agnes Fay Morgan Research Award,Malika Jeffries-EL,2013,"JEFFRIES-EL, MALIKA",Boston University,Not Designated,2024-12-06
