awardgoverningsocietyname,awardname,awardreceivedname,awardreceivedawardyear,personname,institutionname,prestige,asofdate_formatted
Asia-Pacific Artificial Intelligence Association,AAIA Fellow,Calin Belta,2022,"BELTA, CALIN A",Boston University,Not Designated,2024-12-06
IEEE Control Systems Society,IEEE Transactions on Control of Network Systems Best Paper Award,Calin A. Belta,2017,"BELTA, CALIN A",Boston University,Not Designated,2024-12-06
National Bureau of Economic Research(NBER),NBER Affiliated Scholars,Marianne Baxter,1994,"BAXTER, MARIANNE",Boston University,Not Designated,2024-12-06
American Physical Society,APS Fellow,"Bansil, Rama",2001,"BANSIL, RAMA",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Thomas J. Barfield,2006,"BARFIELD, THOMAS J",Boston University,Highly Prestigious,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Specialist,"Barfield, Thomas",2002,"BARFIELD, THOMAS J",Boston University,Not Designated,2024-12-06
Association for Psychological Science,James McKeen Cattell Fellow Award,David H. Barlow,2012,"BARLOW, DAVID H",Boston University,Prestigious,2024-12-06
American Psychological Association,Distinguished Scientific Award for the Applications of Psychology,David H. Barlow,2000,"BARLOW, DAVID H",Boston University,Prestigious,2024-12-06
Academy of Medical Sciences,Academy of Medical Sciences Fellow,David Barlow,1998,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 12-Society for a Science of Clinical Psychology/SSCP Distinguished Scientist Awards,David Barlow,1989,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Fellow,"Barlow, David H",2000,"BARLOW, DAVID H",Boston University,Prestigious,2024-12-06
Association for Psychological Science,Fellow,"Barlow, David H.",1900,"BARLOW, DAVID H",Boston University,Prestigious,2024-12-06
Association for Behavioral and Cognitive Therapies,Career/Lifetime Achievement,David Barlow,2008,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
Association for Behavioral and Cognitive Therapies,Outstanding Researcher,David H. Barlow,2001,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
American Psychological Association,Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology,David H. Barlow,2000,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
Eastern Psychological Association,EPA Fellow,"Barlow, David",2011,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
American Psychological Foundation,"Gold Medal Awards for Life Achievement, Practice",David H. Barlow,2018,"BARLOW, DAVID H",Boston University,Highly Prestigious,2024-12-06
Association for Behavioral and Cognitive Therapies,ABCT Fellow,David Barlow,1900,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
Stanford University,Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow,David H. Barlow,1997,"BARLOW, DAVID H",Boston University,Highly Prestigious,2024-12-06
American Psychological Association,APA Presidential Citation,David H. Barlow,2018,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
American Psychological Association,APA Presidential Citation,David H. Barlow,2014,"BARLOW, DAVID H",Boston University,Not Designated,2024-12-06
"United States Department of State, Bureau of Educational and Cultural Affairs",Fulbright Scholar,Gregory Frederick Barz,2002,"MELCHOR-BARZ, GREGORY F",Boston University,Prestigious,2024-12-06
Faculty Fellowship Program in Israel,Faculty Fellowship Program in Israel Fellow,Gregory Barz,2017,"MELCHOR-BARZ, GREGORY F",Boston University,Not Designated,2024-12-06
National Science Foundation (NSF),Faculty Early Career Development (CAREER) Program,"Betke, Margrit",2001,"BETKE, MARGRIT",Boston University,Prestigious,2024-12-06
Association for Computing Machinery (ACM),ACM Senior Member,Margrit Betke,2012,"BETKE, MARGRIT",Boston University,Not Designated,2024-12-06
Google,Google Faculty Research Award,Margrit Betke,2017,"BETKE, MARGRIT",Boston University,Not Designated,2024-12-06
W. M. Keck Foundation,National Academies Keck Futures Initiative (NAKFI) Grant,THOMAS BIFANO,2011,"BIFANO, THOMAS G",Boston University,Not Designated,2024-12-06
W. M. Keck Foundation,National Academies Keck Futures Initiative (NAKFI) Grant,THOMAS BIFANO,2011,"BIFANO, THOMAS G",Boston University,Not Designated,2024-12-06
Association for Computing Machinery (ACM),ACM Senior Member,"Bestavros,?Azer",2007,"BESTAVROS, AZER",Boston University,Not Designated,2024-12-06
American Mathematical Society,AMS Fellow,"Blanchard, Paul",2013,"BLANCHARD, PAUL",Boston University,Not Designated,2024-12-06
National Academy of Sciences,Kavli Frontiers of Science Fellows,Elizabeth Blanton,2013,"RANDALL, ELIZABETH",Boston University,Not Designated,2024-12-06
American Astronomical Society,AAS Fellow,Elizabeth Blanton,2020,"RANDALL, ELIZABETH",Boston University,Not Designated,2024-12-06
Society for French Historical Studies,Gilbert Chinard Prize,Brooke Blower,2012,"BLOWER, BROOKE L",Boston University,Prestigious,2024-12-06
American Philosophical Society,Franklin Grants,"Blower, Brooke L.",2012,"BLOWER, BROOKE L",Boston University,Not Designated,2024-12-06
Stanford University,Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow,Brooke Blower,2016,"BLOWER, BROOKE L",Boston University,Highly Prestigious,2024-12-06
American Council of Learned Societies (ACLS),Frederick Burkhardt Residential Fellows,Brooke L. Blower,2015,"BLOWER, BROOKE L",Boston University,Prestigious,2024-12-06
Society for Historians of American Foreign Relations,Stuart L. Bernath Lecture Prize,Brooke Blower,2016,"BLOWER, BROOKE L",Boston University,Not Designated,2024-12-06
Society for Historians of American Foreign Relations,Stuart L. Bernath Scholarly Article Prize,Brooke Blower,2015,"BLOWER, BROOKE L",Boston University,Not Designated,2024-12-06
Andrew W. Mellon Foundation,Sawyer Seminar,Brooke L. Blower,2013,"BLOWER, BROOKE L",Boston University,Not Designated,2024-12-06
Damon Runyon Cancer Research Foundation,Damon Runyon Fellowship,Michael D. Blower,2003,"BLOWER, MICHAEL DEMIAN",Boston University,Not Designated,2024-12-06
John Simon Guggenheim Memorial Foundation,Guggenheim Fellowship,Alicia Borinsky,2001,"BORINSKY, ALICIA",Boston University,Highly Prestigious,2024-12-06
Alfred P. Sloan Foundation,Sloan Research Fellowship-Physics,"Brower, Richard",1974,"BROWER, RICHARD C",Boston University,Prestigious,2024-12-06
National Endowment for the Humanities (NEH),NEH Fellowships for University Teachers,Archie Burnett,2009,"BURNETT, ARCHIBALD",Boston University,Highly Prestigious,2024-12-06
"Milton Society of America, The",John T. Shawcross Award,Archie Burnett,2009,"BURNETT, ARCHIBALD",Boston University,Not Designated,2024-12-06
Association for Computing Machinery (ACM),SIGCOMM/Test of Time Paper Award,John Byers,2009,"BYERS, JOHN W",Boston University,Not Designated,2024-12-06
