awardgoverningsocietyid,awardgoverningsocietyname,awardid,awardname,awardreceivedid,awardreceivedname,awardreceivedawardyear,AAUID,clientfacultyid,orcid,personname,institutionname,prestige,asofdate,asofdate_iso,award_age,award_decade,clean_award_name,award_category,is_recent,is_historical,possible_duplicate
3022,Sacred Writes,17602,Public Scholarship Training Fellowship,1360881,Kecia Ali,2021.0,1325,U10310942,,"Ali, Kecia",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,4.0,2020s,Public Scholarship Training Fellowship,Standard Award,True,False,False
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,Fulbright Scholar,1012987,"Anderson, Betty",2019.0,2811,U41263022,,"Anderson, Betty",Boston University,Prestigious,2024-12-06 03:24:46,2024-12-06,6.0,2010s,Fulbright Scholar,Notable Award,True,False,False
234,National Endowment for the Humanities (NEH),2147,Summer Stipends Awards,334146,Clifford Backman,1991.0,3520,U41419137,,"Backman, Clifford R",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,34.0,1990s,Summer Stipends Awards,Standard Award,False,False,False
2577,Corporation of Yaddo,14901,Yaddo Residency,1123551,Martin Amlin,,3667,U59273149,,"Amlin, Martin D",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,,Unknown,Yaddo Residency,Standard Award,False,False,False
2222,MacDowell Colony,12639,MacDowell Fellowships,1122487,Martin Amlin,1980.0,3667,U59273149,,"Amlin, Martin D",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,45.0,1980s,MacDowell Fellowships,Standard Award,False,False,False
500,American Academy of Social Work and Social Welfare,3669,Fellow,546776,Maryann Amodeo,2015.0,3674,U62603706,,"Amodeo, Maryann",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,10.0,2010s,Fellow,Standard Award,True,False,False
350,Institute for Electrical and Electronics Engineers (IEEE),3526,IEEE Fellow,266420,John Baillieul,1993.0,3879,U20677800,0000-0002-5009-0708,"Baillieul, John B",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,32.0,1990s,IEEE Fellow,Standard Award,False,False,False
387,Society for Industrial and Applied Mathematics (SIAM),3593,SIAM Fellow,299016,John Baillieul,2009.0,3879,U20677800,0000-0002-5009-0708,"Baillieul, John B",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,16.0,2000s,SIAM Fellow,Standard Award,False,False,False
2315,IEEE Control Systems Society,13030,IEEE CSS Distinguished Member Award,1046979,John Baillieul,1994.0,3879,U20677800,0000-0002-5009-0708,"Baillieul, John B",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,31.0,1990s,IEEE CSS Distinguished Member Award,Standard Award,False,False,False
2315,IEEE Control Systems Society,17200,IEEE CSS Hendrik W. Bode Lecture Prize,1302172,John Baillieul,2011.0,3879,U20677800,0000-0002-5009-0708,"Baillieul, John B",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,14.0,2010s,IEEE CSS Hendrik W. Bode Lecture Prize,Standard Award,False,False,False
3070,International Federation of Automatic Control,18819,IFAC Fellow,1365918,"Baillieul, John",2011.0,3879,U20677800,0000-0002-5009-0708,"Baillieul, John B",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,14.0,2010s,IFAC Fellow,Standard Award,False,False,False
1054,Institute of Mathematical Statistics,7931,IMS Fellows,1196915,Aguemon Yves Atchade,2020.0,4454,U12316845,0000-0002-0487-6136,"Atchade, Yves",Boston University,Not Designated,2024-12-06 03:24:46,2024-12-06,5.0,2020s,IMS Fellows,Standard Award,True,False,False
