awardgoverningsocietyid,awardgoverningsocietyname,awardid,awardname,awardreceivedid,awardreceivedname,awardreceivedawardyear,AAUID,clientfacultyid,orcid,personname,institutionname,prestige,asofdate
471,"IEEE Computer Society",8757,"Certificate of Appreciation",844395,"Calin Belta","2013",6841,"U73341444","0000-0002-7141-2657","BELTA, CALIN A","Boston University","Not Designated",12/6/2024 3:24:46 AM
350,"Institute for Electrical and Electronics Engineers (IEEE)",3526,"IEEE Fellow",719190,"Calin Belta","2017",6841,"U73341444","0000-0002-7141-2657","BELTA, CALIN A","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",1014555,"Calin A Belta","2005",6841,"U73341444","0000-0002-7141-2657","BELTA, CALIN A","Boston University","Prestigious",12/6/2024 3:24:46 AM
1804,"Air Force Office of Scientific Research (AFOSR)",9918,"Young Investigator Program (YIP)",1181806,"Calin Belta","2008",6841,"U73341444","0000-0002-7141-2657","BELTA, CALIN A","Boston University","Not Designated",12/6/2024 3:24:46 AM
3245,"Asia-Pacific Artificial Intelligence Association",19787,"AAIA Fellow",1472960,"Calin Belta","2022",6841,"U73341444","0000-0002-7141-2657","BELTA, CALIN A","Boston University","Not Designated",12/6/2024 3:24:46 AM
2315,"IEEE Control Systems Society",21524,"IEEE Transactions on Control of Network Systems Best Paper Award",1615588,"Calin A. Belta","2017",6841,"U73341444","0000-0002-7141-2657","BELTA, CALIN A","Boston University","Not Designated",12/6/2024 3:24:46 AM
413,"National Bureau of Economic Research(NBER)",3019,"NBER Affiliated Scholars",206933,"Marianne Baxter","1994",7082,"U06930822","","BAXTER, MARIANNE","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",3020,"APS Fellow",208950,"Bansil, Rama","2001",7163,"U56097599","0000-0003-1311-1749","BANSIL, RAMA","Boston University","Not Designated",12/6/2024 3:24:46 AM
191,"John Simon Guggenheim Memorial Foundation",1809,"Guggenheim Fellowship",55158,"Thomas J. Barfield","2006",7318,"U39210212","","BARFIELD, THOMAS J","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",13189,"Fulbright Specialist",1485212,"Barfield, Thomas","2002",7318,"U39210212","","BARFIELD, THOMAS J","Boston University","Not Designated",12/6/2024 3:24:46 AM
159,"Association for Psychological Science",1642,"James McKeen Cattell Fellow Award",309394,"David H. Barlow","2012",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Prestigious",12/6/2024 3:24:46 AM
98,"American Psychological Association",941,"Distinguished Scientific Award for the Applications of Psychology",19655,"David H. Barlow","2000",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Prestigious",12/6/2024 3:24:46 AM
466,"Academy of Medical Sciences",3514,"Academy of Medical Sciences Fellow",260666,"David Barlow","1998",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
98,"American Psychological Association",2351,"Division 12-Society for a Science of Clinical Psychology/SSCP Distinguished Scientist Awards",217300,"David Barlow","1989",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
98,"American Psychological Association",5446,"APA Fellow",565271,"Barlow, David H","2000",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Prestigious",12/6/2024 3:24:46 AM
159,"Association for Psychological Science",1644,"Fellow",418880,"Barlow, David H.","1900",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Prestigious",12/6/2024 3:24:46 AM
1066,"Association for Behavioral and Cognitive Therapies",5052,"Career/Lifetime Achievement",426514,"David Barlow","2008",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
1066,"Association for Behavioral and Cognitive Therapies",5054,"Outstanding Researcher",426555,"David H. Barlow","2001",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
98,"American Psychological Association",5111,"Division 12-Society for a Science of Clinical Psychology/Distinguished Scientific Contributions to Clinical Psychology",435531,"David H. Barlow","2000",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
1446,"Eastern Psychological Association",7479,"EPA Fellow",732374,"Barlow, David","2011",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
1019,"American Psychological Foundation",4892,"Gold Medal Awards for Life Achievement, Practice",809611,"David H. Barlow","2018",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
1066,"Association for Behavioral and Cognitive Therapies",19141,"ABCT Fellow",1415992,"David Barlow","1900",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
2554,"Stanford University",3504,"Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow",1361934,"David H. Barlow","1997",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
98,"American Psychological Association",19893,"APA Presidential Citation",1483397,"David H. Barlow","2018",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
98,"American Psychological Association",19893,"APA Presidential Citation",1483546,"David H. Barlow","2014",7435,"U38534502","0000-0002-8749-2591","BARLOW, DAVID H","Boston University","Not Designated",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,"Fulbright Scholar",31649,"Gregory Frederick Barz","2002",7863,"U88768634","","MELCHOR-BARZ, GREGORY F","Boston University","Prestigious",12/6/2024 3:24:46 AM
3491,"Faculty Fellowship Program in Israel",23374,"Faculty Fellowship Program in Israel Fellow",1648971,"Gregory Barz","2017",7863,"U88768634","","MELCHOR-BARZ, GREGORY F","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",516119,"Betke, Margrit","2001",8125,"U77054719","0000-0002-4491-6868","BETKE, MARGRIT","Boston University","Prestigious",12/6/2024 3:24:46 AM
331,"Association for Computing Machinery (ACM)",4998,"ACM Senior Member",425070,"Margrit Betke","2012",8125,"U77054719","0000-0002-4491-6868","BETKE, MARGRIT","Boston University","Not Designated",12/6/2024 3:24:46 AM
1604,"Google",8593,"Google Faculty Research Award",828492,"Margrit Betke","2017",8125,"U77054719","0000-0002-4491-6868","BETKE, MARGRIT","Boston University","Not Designated",12/6/2024 3:24:46 AM
409,"W. M. Keck Foundation",9228,"National Academies Keck Futures Initiative (NAKFI) Grant",862189,"THOMAS BIFANO","2011",9738,"U91399397","0000-0003-4952-2515","BIFANO, THOMAS G","Boston University","Not Designated",12/6/2024 3:24:46 AM
409,"W. M. Keck Foundation",9228,"National Academies Keck Futures Initiative (NAKFI) Grant",862164,"THOMAS BIFANO","2011",9738,"U91399397","0000-0003-4952-2515","BIFANO, THOMAS G","Boston University","Not Designated",12/6/2024 3:24:46 AM
331,"Association for Computing Machinery (ACM)",4998,"ACM Senior Member",632582,"Bestavros,?Azer","2007",9802,"U76016415","0000-0003-0798-8835","BESTAVROS, AZER","Boston University","Not Designated",12/6/2024 3:24:46 AM
80,"American Mathematical Society",4522,"AMS Fellow",363034,"Blanchard, Paul","2013",10524,"U67775387","","BLANCHARD, PAUL","Boston University","Not Designated",12/6/2024 3:24:46 AM
222,"National Academy of Sciences",7494,"Kavli Frontiers of Science Fellows",649095,"Elizabeth Blanton","2013",10625,"U27736807","0000-0002-0485-6573","RANDALL, ELIZABETH","Boston University","Not Designated",12/6/2024 3:24:46 AM
37,"American Astronomical Society",18978,"AAS Fellow",1395859,"Elizabeth Blanton","2020",10625,"U27736807","0000-0002-0485-6573","RANDALL, ELIZABETH","Boston University","Not Designated",12/6/2024 3:24:46 AM
385,"Society for French Historical Studies",2913,"Gilbert Chinard Prize",318837,"Brooke Blower","2012",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Prestigious",12/6/2024 3:24:46 AM
91,"American Philosophical Society",3018,"Franklin Grants",353835,"Blower, Brooke L.","2012",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Not Designated",12/6/2024 3:24:46 AM
2554,"Stanford University",3504,"Center for Advanced Studies in the Behavioral Sciences/CASBS Residency Fellow",575506,"Brooke Blower","2016",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
54,"American Council of Learned Societies (ACLS)",483,"Frederick Burkhardt Residential Fellows",539034,"Brooke L. Blower","2015",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Prestigious",12/6/2024 3:24:46 AM
2316,"Society for Historians of American Foreign Relations",13036,"Stuart L. Bernath Lecture Prize",1201314,"Brooke Blower","2016",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Not Designated",12/6/2024 3:24:46 AM
2316,"Society for Historians of American Foreign Relations",13037,"Stuart L. Bernath Scholarly Article Prize",1201345,"Brooke Blower","2015",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Not Designated",12/6/2024 3:24:46 AM
328,"Andrew W. Mellon Foundation",15138,"Sawyer Seminar",1458020,"Brooke L. Blower","2013",10975,"U12244539","","BLOWER, BROOKE L","Boston University","Not Designated",12/6/2024 3:24:46 AM
1944,"Damon Runyon Cancer Research Foundation",11181,"Damon Runyon Fellowship",1173594,"Michael D. Blower","2003",10976,"U62902461","0000-0002-5037-1972","BLOWER, MICHAEL DEMIAN","Boston University","Not Designated",12/6/2024 3:24:46 AM
191,"John Simon Guggenheim Memorial Foundation",1809,"Guggenheim Fellowship",284859,"Alicia Borinsky","2001",11555,"U30657540","","BORINSKY, ALICIA","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",30,"Sloan Research Fellowship-Physics",617634,"Brower, Richard","1974",13107,"U85744011","","BROWER, RICHARD C","Boston University","Prestigious",12/6/2024 3:24:46 AM
234,"National Endowment for the Humanities (NEH)",3768,"NEH Fellowships for University Teachers",253622,"Archie Burnett","2009",14487,"U28295734","","BURNETT, ARCHIBALD","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
1240,"Milton Society of America, The",10152,"John T. Shawcross Award",939871,"Archie Burnett","2009",14487,"U28295734","","BURNETT, ARCHIBALD","Boston University","Not Designated",12/6/2024 3:24:46 AM
331,"Association for Computing Machinery (ACM)",3709,"SIGCOMM/Test of Time Paper Award",325986,"John Byers","2009",15614,"U73825717","","BYERS, JOHN W","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",516099,"Byers, John","2001",15614,"U73825717","","BYERS, JOHN W","Boston University","Prestigious",12/6/2024 3:24:46 AM
1604,"Google",8593,"Google Faculty Research Award",830492,"John Byers","2012",15614,"U73825717","","BYERS, JOHN W","Boston University","Not Designated",12/6/2024 3:24:46 AM
471,"IEEE Computer Society",8757,"Certificate of Appreciation",842605,"John Byers","2004",15614,"U73825717","","BYERS, JOHN W","Boston University","Not Designated",12/6/2024 3:24:46 AM
198,"Institute for Advanced Study",1833,"IAS School of Historical Studies/Members",49282,"Tian Yu Cao","2004",15995,"U33308436","","CAO, TIAN Y","Boston University","Prestigious",12/6/2024 3:24:46 AM
198,"Institute for Advanced Study",1840,"IAS School of Natural Science/Member",62309,"Tian Yu Cao","2004",15995,"U33308436","","CAO, TIAN Y","Boston University","Not Designated",12/6/2024 3:24:46 AM
189,"Gerontological Society of America, The",5807,"Fellow",750128,"Carr, Deborah","1900",16803,"U76996265","0000-0002-8175-5303","CARR, DEBORAH","Boston University","Not Designated",12/6/2024 3:24:46 AM
189,"Gerontological Society of America, The",1800,"Richard Kalish Innovative Publication Award",1335680,"Deborah S. Carr","2020",16803,"U76996265","0000-0002-8175-5303","CARR, DEBORAH","Boston University","Prestigious",12/6/2024 3:24:46 AM
2060,"Borchard Foundation Center on Law & Aging",12132,"Borchard Foundation Grants",1412071,"Deborah Carr","2021",16803,"U76996265","0000-0002-8175-5303","CARR, DEBORAH","Boston University","Not Designated",12/6/2024 3:24:46 AM
147,"American Sociological Association",1521,"Aging and the Life Course Section/Matilda White Riley Distinguished Scholar Award",1525068,"Deborah Carr","2022",16803,"U76996265","0000-0002-8175-5303","CARR, DEBORAH","Boston University","Not Designated",12/6/2024 3:24:46 AM
147,"American Sociological Association",19612,"Aging and the Life Course Section/Outstanding Mentor Award",1669394,"Deborah Carr","2023",16803,"U76996265","0000-0002-8175-5303","CARR, DEBORAH","Boston University","Not Designated",12/6/2024 3:24:46 AM
6,"American Academy of Arts and Sciences",101,"American Academy of Arts and Sciences Member/Fellow",1765902,"Deborah Carr","2024",16803,"U76996265","0000-0002-8175-5303","CARR, DEBORAH","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
970,"Econometric Society, The",5419,"Econometric Society Fellow",444954,"CHRISTOPHER CHAMLEY","1993",17900,"U15753649","","CHAMLEY, CHRISTOPHE","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",603069,"CARRUTHERS, JEFFREY","1999",17999,"U35736583","","CARRUTHERS, JEFFREY B","Boston University","Prestigious",12/6/2024 3:24:46 AM
350,"Institute for Electrical and Electronics Engineers (IEEE)",3526,"IEEE Fellow",869126,"David Casta??n","2019",18309,"U30415728","0000-0002-9635-9776","CASTANON, DAVID A","Boston University","Not Designated",12/6/2024 3:24:46 AM
2315,"IEEE Control Systems Society",13030,"IEEE CSS Distinguished Member Award",1046949,"David Castanon","2006",18309,"U30415728","0000-0002-9635-9776","CASTANON, DAVID A","Boston University","Not Designated",12/6/2024 3:24:46 AM
92,"American Physical Society",3020,"APS Fellow",207507,"Chamon, Claudio","2008",18860,"U82744447","","CHAMON, CLAUDIO C","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",30,"Sloan Research Fellowship-Physics",14430,"Claudio Chamon","1999",18860,"U82744447","","CHAMON, CLAUDIO C","Boston University","Prestigious",12/6/2024 3:24:46 AM
198,"Institute for Advanced Study",1840,"IAS School of Natural Science/Member",16973,"Claudio Chamon","1999",18860,"U82744447","","CHAMON, CLAUDIO C","Boston University","Not Designated",12/6/2024 3:24:46 AM
511,"Simons Foundation",3772,"Simons Fellows in Theoretical Physics",597839,"Claudio Chamon","2017",18860,"U82744447","","CHAMON, CLAUDIO C","Boston University","Not Designated",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",603221,"CHAMON, CLAUDIO","1999",18860,"U82744447","","CHAMON, CLAUDIO C","Boston University","Prestigious",12/6/2024 3:24:46 AM
222,"National Academy of Sciences",7494,"Kavli Frontiers of Science Fellows",648817,"Claudio Chamon","1999",18860,"U82744447","","CHAMON, CLAUDIO C","Boston University","Not Designated",12/6/2024 3:24:46 AM
238,"President of the United States of America",2158,"Presidential Early Career Awards for Scientists and Engineers (PECASE)",253845,"Christopher S. Chen","2000",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Prestigious",12/6/2024 3:24:46 AM
492,"American Institute for Medical and Biological Engineering",3606,"Fellow",308703,"Christopher Chen","2011",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
458,"Office of Naval Research (ONR)",3477,"Young Investigator Program Award (YIP)",584198,"Christopher Chen","1999",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Prestigious",12/6/2024 3:24:46 AM
1103,"Biomedical Engineering Society",7675,"BMES Fellow",860428,"Christopher S. Chen","2018",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
1103,"Biomedical Engineering Society",5468,"Pritzker Distinguished Lecture Award",1051748,"Christopher Chen","2019",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
221,"National Academy of Engineering",7726,"US Frontiers of Engineering Participant",1088970,"Christopher S. Chen","2002",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
221,"National Academy of Engineering",7726,"US Frontiers of Engineering Participant",1088804,"Christopher S. Chen","2001",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
3232,"International Academy of Medical and Biological Engineering",19684,"IAMBE Fellow",1466869,"?Christopher S. Chen","2021",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
3103,"Allen Institute",18939,"Allen Distinguished Investigator",1517926,"Christopher S. Chen","2021",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
510,"National Academy of Inventors",3717,"NAI Fellow",1602738,"Christopher S. Chen","2022",19023,"U93955450","0000-0003-2445-8449","CHEN, CHRISTOPHER","Boston University","Not Designated",12/6/2024 3:24:46 AM
150,"American Statistical Association",1584,"ASA Fellow",36752,"Cindy L. Christiansen","2003",19054,"U06760407","","CHRISTIANSEN, CINDY","Boston University","Not Designated",12/6/2024 3:24:46 AM
150,"American Statistical Association",1584,"ASA Fellow",1669439,"Cheng, Debbie","2023",19290,"U70600223","0000-0002-2206-3059","CHENG, DEBBIE","Boston University","Not Designated",12/6/2024 3:24:46 AM
1582,"Drexel University",13144,"Institute for Women's Health and Leadership/ELAM Fellow",1749596,"Debbie M. Cheng","2024",19290,"U70600223","0000-0002-2206-3059","CHENG, DEBBIE","Boston University","Not Designated",12/6/2024 3:24:46 AM
83,"American Musicological Society, Inc.",745,"Noah Greenberg Award",15407,"Victor Coelho","1999",21102,"U59262745","","COELHO, VICTOR A","Boston University","Not Designated",12/6/2024 3:24:46 AM
1130,"Harvard University",21770,"Center for Italian Renaissance Studies/I Tatti Fellow/Appointee",1562187,"Coelho, Victor","1997",21102,"U59262745","","COELHO, VICTOR A","Boston University","Not Designated",12/6/2024 3:24:46 AM
1130,"Harvard University",21770,"Center for Italian Renaissance Studies/I Tatti Fellow/Appointee",1562188,"Coelho, Victor","2004",21102,"U59262745","","COELHO, VICTOR A","Boston University","Not Designated",12/6/2024 3:24:46 AM
1260,"Russell Sage Foundation",6518,"Russell Sage Visiting Scholar",587476,"Elizabeth F. Cohen","2014",21130,"U70360095","","COHEN, ELIZABETH F","Boston University","Not Designated",12/6/2024 3:24:46 AM
96,"American Political Science Association",11145,"Migration and Citizenship Section/Best Book Award",1056501,"Elizabeth Cohen","2019",21130,"U70360095","","COHEN, ELIZABETH F","Boston University","Not Designated",12/6/2024 3:24:46 AM
371,"Princeton University",2884,"University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships",1379014,"Elizabeth Cohen","2020",21130,"U70360095","","COHEN, ELIZABETH F","Boston University","Prestigious",12/6/2024 3:24:46 AM
371,"Princeton University",2884,"University Center for Human Values/Laurance S. Rockefeller Visiting Faculty Fellowships",1474903,"Elizabeth Cohen","2022",21130,"U70360095","","COHEN, ELIZABETH F","Boston University","Prestigious",12/6/2024 3:24:46 AM
234,"National Endowment for the Humanities (NEH)",3768,"NEH Fellowships for University Teachers",361078,"Robert Andrew Chodat","2014",21142,"U40363121","","CHODAT, ROBERT A","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
303,"Alexander Von Humboldt Foundation",3923,"Humboldt Research Fellowship",1312886,"Robert Chodat","2006",21142,"U40363121","","CHODAT, ROBERT A","Boston University","Prestigious",12/6/2024 3:24:46 AM
6,"American Academy of Arts and Sciences",8191,"Visiting Scholar",1150827,"Robert Chodat","2003",21142,"U40363121","","CHODAT, ROBERT A","Boston University","Not Designated",12/6/2024 3:24:46 AM
492,"American Institute for Medical and Biological Engineering",3606,"Fellow",310891,"H. Steven Colburn","2000",21363,"U05896075","0000-0002-6508-0385","COLBURN, H STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
298,"Acoustical Society of America",2540,"Silver Medal",192641,"H. Steven Colburn","2004",21363,"U05896075","0000-0002-6508-0385","COLBURN, H STEVEN","Boston University","Prestigious",12/6/2024 3:24:46 AM
2444,"Association for Research in Otolaryngology",13831,"ARO Award of Merit",1177713,"H. Steven Colburn","2014",21363,"U05896075","0000-0002-6508-0385","COLBURN, H STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
298,"Acoustical Society of America",8247,"Fellow",1748297,"Colburn, H. Steven","1991",21363,"U05896075","0000-0002-6508-0385","COLBURN, H STEVEN","Boston University","Not Designated",12/6/2024 3:24:46 AM
1403,"Fromm Music Foundation",7282,"Commission/Fellowship",640330,"Richard Cornell","2016",21685,"U65559947","","CORNELL, RICHARD","Boston University","Not Designated",12/6/2024 3:24:46 AM
2577,"Corporation of Yaddo",14901,"Yaddo Residency",1123460,"Richard Cornell","1900",21685,"U65559947","","CORNELL, RICHARD","Boston University","Not Designated",12/6/2024 3:24:46 AM
2222,"MacDowell Colony",12639,"MacDowell Fellowships",1122211,"Richard Cornell","1987",21685,"U65559947","","CORNELL, RICHARD","Boston University","Not Designated",12/6/2024 3:24:46 AM
328,"Andrew W. Mellon Foundation",15138,"Sawyer Seminar",1457903,"Cutler Cleveland","2009",22678,"U96431098","","CLEVELAND, CUTLER","Boston University","Not Designated",12/6/2024 3:24:46 AM
3,"Alfred P. Sloan Foundation",24,"Sloan Research Fellowship-Chemistry",39321,"Qiang Cui","2004",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Prestigious",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",514928,"Cui, Qiang","2004",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Prestigious",12/6/2024 3:24:46 AM
1249,"Chinese-American Chemistry and Chemical Biology Professors Association",6498,"Distinguished Faculty Award",586356,"Qiang Cui","2010",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Not Designated",12/6/2024 3:24:46 AM
222,"National Academy of Sciences",7494,"Kavli Frontiers of Science Fellows",651520,"Qiang Cui","2010",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Not Designated",12/6/2024 3:24:46 AM
1232,"The Camille and Henry Dreyfus Foundation",18948,"Machine Learning in the Chemical Sciences and Engineering Award",1415780,"Qiang Cui","2021",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Not Designated",12/6/2024 3:24:46 AM
1139,"National Institutes of Health (NIH)",9927,"NIH Outstanding Investigator Award (R35)",1386326,"CUI, QIANG ","2021",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Not Designated",12/6/2024 3:24:46 AM
41,"American Chemical Society",4523,"ACS Fellow",1639965,"Qiang Cui","2023",23099,"U67086580","0000-0001-6214-5211","CUI, QIANG","Boston University","Not Designated",12/6/2024 3:24:46 AM
