awardgoverningsocietyid,awardgoverningsocietyname,awardid,awardname,awardreceivedid,awardreceivedname,awardreceivedawardyear,AAUID,clientfacultyid,orcid,personname,institutionname,prestige,asofdate
3022,"Sacred Writes",17602,"Public Scholarship Training Fellowship",1360881,"Kecia Ali","2021",1325,"U10310942","","ALI, KECIA","Boston University","Not Designated",12/6/2024 3:24:46 AM
1460,"United States Department of State, Bureau of Educational and Cultural Affairs",1786,"Fulbright Scholar",1012987,"Anderson, Betty","2019",2811,"U41263022","","ANDERSON, BETTY","Boston University","Prestigious",12/6/2024 3:24:46 AM
234,"National Endowment for the Humanities (NEH)",2147,"Summer Stipends Awards",334146,"Clifford Backman","1991",3520,"U41419137","","BACKMAN, CLIFFORD R","Boston University","Not Designated",12/6/2024 3:24:46 AM
2577,"Corporation of Yaddo",14901,"Yaddo Residency",1123551,"Martin Amlin","1900",3667,"U59273149","","AMLIN, MARTIN D","Boston University","Not Designated",12/6/2024 3:24:46 AM
2222,"MacDowell Colony",12639,"MacDowell Fellowships",1122487,"Martin Amlin","1980",3667,"U59273149","","AMLIN, MARTIN D","Boston University","Not Designated",12/6/2024 3:24:46 AM
500,"American Academy of Social Work and Social Welfare",3669,"Fellow",546776,"Maryann Amodeo","2015",3674,"U62603706","","AMODEO, MARYANN","Boston University","Not Designated",12/6/2024 3:24:46 AM
350,"Institute for Electrical and Electronics Engineers (IEEE)",3526,"IEEE Fellow",266420,"John Baillieul","1993",3879,"U20677800","0000-0002-5009-0708","BAILLIEUL, JOHN B","Boston University","Not Designated",12/6/2024 3:24:46 AM
387,"Society for Industrial and Applied Mathematics (SIAM)",3593,"SIAM Fellow",299016,"John Baillieul","2009",3879,"U20677800","0000-0002-5009-0708","BAILLIEUL, JOHN B","Boston University","Not Designated",12/6/2024 3:24:46 AM
2315,"IEEE Control Systems Society",13030,"IEEE CSS Distinguished Member Award",1046979,"John Baillieul","1994",3879,"U20677800","0000-0002-5009-0708","BAILLIEUL, JOHN B","Boston University","Not Designated",12/6/2024 3:24:46 AM
2315,"IEEE Control Systems Society",17200,"IEEE CSS Hendrik W. Bode Lecture Prize",1302172,"John Baillieul","2011",3879,"U20677800","0000-0002-5009-0708","BAILLIEUL, JOHN B","Boston University","Not Designated",12/6/2024 3:24:46 AM
3070,"International Federation of Automatic Control",18819,"IFAC Fellow",1365918,"Baillieul, John","2011",3879,"U20677800","0000-0002-5009-0708","BAILLIEUL, JOHN B","Boston University","Not Designated",12/6/2024 3:24:46 AM
1054,"Institute of Mathematical Statistics",7931,"IMS Fellows",1196915,"Aguemon Yves Atchade","2020",4454,"U12316845","0000-0002-0487-6136","ATCHADE, YVES","Boston University","Not Designated",12/6/2024 3:24:46 AM
1101,"Academy of Management",6148,"Gender and Diversity in Organizations Division/Parasuraman Award",584824,"Michel Anteby","2016",4499,"U38823088","0000-0002-2629-2529","ANTEBY, MICHEL JAMES","Boston University","Not Designated",12/6/2024 3:24:46 AM
1483,"Emerald Publishing",8932,"Outstanding Author Contributions",853528,"Michel Anteby","2015",4499,"U38823088","0000-0002-2629-2529","ANTEBY, MICHEL JAMES","Boston University","Not Designated",12/6/2024 3:24:46 AM
456,"Cornell University",6432,"Johnson School of Management/ASQ Award for Scholarly Contribution",1695131,"Michel Anteby","2023",4499,"U38823088","0000-0002-2629-2529","ANTEBY, MICHEL JAMES","Boston University","Not Designated",12/6/2024 3:24:46 AM
6,"American Academy of Arts and Sciences",101,"American Academy of Arts and Sciences Member/Fellow",263001,"Bard, Kathryn","2010",4685,"U23666124","0000-0002-4024-4750","BARD, KATHRYN","Boston University","Highly Prestigious",12/6/2024 3:24:46 AM
488,"Minerals, Metals and Materials Society, The",19746,"LMD/EPD Energy Best Paper Award - Professional",1589546,"Soumendra Basu","2023",6784,"U14288133","0000-0001-7993-7370","BASU, SOUMENDRA N","Boston University","Not Designated",12/6/2024 3:24:46 AM
458,"Office of Naval Research (ONR)",3477,"Young Investigator Program Award (YIP)",584302,"Enrico Bellotti","2003",6837,"U35969260","0000-0002-4747-8584","BELLOTTI, ENRICO","Boston University","Prestigious",12/6/2024 3:24:46 AM
366,"National Science Foundation (NSF)",5815,"Faculty Early Career Development (CAREER) Program",1022320,"Enrico  Bellotti","2005",6837,"U35969260","0000-0002-4747-8584","BELLOTTI, ENRICO","Boston University","Prestigious",12/6/2024 3:24:46 AM
